molecule_id,target_id,timestamp,model_version,molecule_data,screening_data,job_id,ai_duration,blockchain_duration,verification
"5alpha,8alpha-epidioxy-ergost-6,22-dien-3beta-ol",default,1757479633,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2([C@@]3(C1)OO[C@@]1([C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C=C3)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4816, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","5alpha,8alpha-epidioxy-ergost-6,22-dien-3beta-ol-1757479633",0.07253265380859375,0.34419798851013184,"{'tx_hash': '0x1e0085ff5d898580e1445ff3429da656ff35e27b51fdfb33d629a0dc6ba3d011', 'result_id': None, 'status': 'recorded'}"
"ergosta-5,22-dien-3beta-ol",default,1757479633,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4688, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","ergosta-5,22-dien-3beta-ol-1757479633",0.006261587142944336,1.6597447395324707,"{'tx_hash': '0x06b32d0fd70eb1d0ad731349d8bb95ab63174399547925d989b3fd0a4b37c6cb', 'result_id': None, 'status': 'recorded'}"
ergosterol,default,1757479635,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(=CC=C3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4749, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",ergosterol-1757479635,0.00697779655456543,2.0449225902557373,"{'tx_hash': '0xe84ad144c58541a8504a464a8cf661b98aeb36b1705af945bb3ef98533d3fceb', 'result_id': None, 'status': 'recorded'}"
"ergosta-7,22-dien-3beta-ol",default,1757479637,1.0.0,"{'smiles': 'OC1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5493, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","ergosta-7,22-dien-3beta-ol-1757479637",0.004027605056762695,2.0001800060272217,"{'tx_hash': '0x3e76cd6b80369b18d2e1d0f74ec0e972504ba8133a0efc1cbaebe0771441356b', 'result_id': None, 'status': 'recorded'}"
ergosta-7-en-3beta-ol,default,1757479639,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CC[C@@H](C(C)C)C)C)C)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5498, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",ergosta-7-en-3beta-ol-1757479639,0.0044193267822265625,1.985058307647705,"{'tx_hash': '0x37ad2b51ac2cfa42a23edfa9df540382316ee8ccaa65754c3e94dbb7977e2090', 'result_id': None, 'status': 'recorded'}"
lanneaflavonol,default,1757479641,1.0.0,"{'smiles': 'COc1c(O)cc(cc1O)c1oc2cc3OC(C)(C)C=Cc3c(c2c(=O)c1O)O', 'lipinski_violations': 0}","{'predicted_pIC50': 5.2734, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",lanneaflavonol-1757479641,0.005068778991699219,2.3230037689208984,"{'tx_hash': '0xec2eefba55d113ebf8acac7ea492006e9137776b349a9b85e7be9d44748dd03a', 'result_id': None, 'status': 'recorded'}"
dihydrolanneaflavonol,default,1757479643,1.0.0,"{'smiles': 'COc1c(O)cc(cc1O)[C@H]1Oc2cc3OC(C)(C)C=Cc3c(c2C(=O)[C@@H]1O)O', 'lipinski_violations': 0}","{'predicted_pIC50': 5.169, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",dihydrolanneaflavonol-1757479643,0.017536163330078125,0.57395339012146,"{'tx_hash': '0x6517de501e306cb2d63e713aaafa0dbeb5a6e46589568b77597f92c14428ce30', 'result_id': None, 'status': 'recorded'}"
myricetin-3-O-alpha-rhamnopyranoside,default,1757479644,1.0.0,"{'smiles': 'Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1cc(O)c(c(c1)O)O', 'lipinski_violations': 2}","{'predicted_pIC50': 5.18, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",myricetin-3-O-alpha-rhamnopyranoside-1757479644,0.004505634307861328,2.039438247680664,"{'tx_hash': '0xa754f24e289d6fcfc2afdf25c9214a25fdbe88cb4140fff40d23d59404e905ab', 'result_id': None, 'status': 'recorded'}"
myricetin-3-O-alpha-arabinofuranoside,default,1757479646,1.0.0,"{'smiles': 'OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1cc(O)c(c(c1)O)O', 'lipinski_violations': 2}","{'predicted_pIC50': 5.0933, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",myricetin-3-O-alpha-arabinofuranoside-1757479646,0.00661468505859375,1.9586913585662842,"{'tx_hash': '0x924080bbb2fc2d41ae27d6ed0e55a9c8f5c1572a9231f6da95df08715263d526', 'result_id': None, 'status': 'recorded'}"
lupeol,default,1757479648,1.0.0,"{'smiles': 'CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5732, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",lupeol-1757479648,0.004372835159301758,2.034804582595825,"{'tx_hash': '0x3ce36fcd03fe9752c65e3914318d6447f6a7586ecafa838c73dcccf96e8fcc77', 'result_id': None, 'status': 'recorded'}"
